date,cobaye,idle1,sleep1,idle2,cours1,idle3,cours2,idle4,sleep2
18 1 2019,A,0.666666667,8.666666667,4.166666667,4,6.5,0,0,0,24
19 1 2019,A,1,8,15,0,0,0,0,0,24
20 1 2019,A,1,7.5,15.5,0,0,0,0,0,24
21 1 2019,A,0,7,1,4,2,4,5.5,0.5,24
22 1 2019,A,0,8,0,4,2,3,6,1,24
23 1 2019,A,0,7,2,3,12,0,0,0,24
24 1 2019,A,3.5,9,11.5,0,0,0,0,0,24
25 1 2019,A,0.5,9,4,4,6.5,0,0,0,24
26 1 2019,A,3.25,6.25,14.5,0,0,0,0,0,24
27 1 2019,A,0,10,14,0,0,0,0,0,24
28 1 2019,A,4,9.166666667,0.833333333,2,7,0,0,1,24
29 1 2019,A,0,6.5,1.5,10,6,0,0,0,24
30 1 2019,A,2,6.666666667,1.333333333,2,12,0,0,0,24
31 1 2019,A,1,7.75,1.25,2,12,0,0,0,24
1 2 2019,A,3.5,8,2,4,6.5,0,0,0,24
2 2 2019,A,6,8,10,0,0,0,0,0,24
3 2 2019,A,5,7,12,0,0,0,0,0,24
4 2 2019,A,1.333333333,7.166666667,2.5,2,11,0,0,0,24
5 2 2019,A,0.666666667,7.833333333,0.5,3,2,3,7,0,24
6 2 2019,A,1.25,5.75,1,4,11.16666667,0,0,0.833333333,24
7 2 2019,A,0,8.5,15.25,0,0,0,0,0.25,24
8 2 2019,A,0,10.5,3,4,6.5,0,0,0,24
18 1 2019,B,1.833333333,5.916666667,0.25,2,3.5,4,6.5,0,24
19 1 2019,B,1.833333333,9.166666667,0,0,0,0,13,0,24
20 1 2019,B,2.666666667,7.666666667,0,0,0,0,13.66666667,0,10.33333333
21 1 2019,B,2,8,0,0,0,0,14,0,24
22 1 2019,B,1,8,0,0,0,0,15,0,24
23 1 2019,B,1,6.75,0.25,4,0,0,12,0,23.75
24 1 2019,B,1,6.75,0.25,4,0,0,12,0,23.75
25 1 2019,B,1.5,8,4,0,0,4,6.5,0,17.5
26 1 2019,B,1.5,8.5,0,0,0,0,14,0,24
27 1 2019,B,2,9,0,0,0,0,13,0,24
28 1 2019,B,2.5,6.5,5,0,0,4,4.5,1.5,18
29 1 2019,B,0,7.5,0.5,4,0,0,12,,23.5
30 1 2019,B,2,5.75,0.25,4,0,0,12,0,23.75
31 1 2019,B,2,6.5,0.5,3,1,2,9,0,23.5
1 2 2019,B,2.5,8,5.5,0,0,4,4,0,18.5
2 2 2019,B,1,8.5,0,0,0,0,14.5,0,9.5
3 2 2019,B,2,9.5,0,0,0,0,12.5,0,11.5
4 2 2019,B,2.5,8,0,0,0,0,13.5,0,10.5
5 2 2019,B,1,7,0.25,3.75,0,0,12,0,20
6 2 2019,B,1,8.5,0,0,0,0,14.5,0,9.5
7 2 2019,B,1.75,7,0.25,10.5,0,0,4.5,0,8.75
8 2 2019,B,1.75,6,0.25,4,1.5,4,6.5,0,15.75
18 1 2019,C,0,7,1,4,2,4,6,0,24
19 1 2019,C,1.5,8.5,14,0,0,0,0,0,24
20 1 2019,C,1.5,8.5,14,0,0,0,0,0,24
21 1 2019,C,2,9,13,0,0,0,0,0,24
22 1 2019,C,2,4.833333333,1.166666667,2,14,0,0,0,24
23 1 2019,C,1,5,8,4,6,0,0,0,24
24 1 2019,C,1,7,16,0,0,0,0,0,24
25 1 2019,C,1,7,6,4,6,0,0,0,24
26 1 2019,C,1,9,14,0,0,0,0,0,24
27 1 2019,C,0.5,9.5,14,0,0,0,0,0,24
28 1 2019,C,2,4,8,4,6,0,0,0,24
29 1 2019,C,0.5,8.5,1,2,12,0,0,0,24
30 1 2019,C,1.5,5.5,1,4,2,4,6,0,24
31 1 2019,C,2,5,1,4,2,4,6,0,24
1 2 2019,C,1.5,5.5,1,4,2,4,5,1,24
2 2 2019,C,0,5,19,0,0,0,0,0,24
3 2 2019,C,0,10,13,0,0,0,0,1,24
4 2 2019,C,0,8,16,0,0,0,0,0,24
5 2 2019,C,2,8.5,13.5,0,0,0,0,0,24
6 2 2019,C,3,7,4,4,6,0,0,0,24
7 2 2019,C,2,7.5,0.5,2,2,4,6,0,24
8 2 2019,C,2,5,1,4,12,0,0,0,24
